所在页面,字号类别,KW,CN（中文）,EN（英文）,FR（法）,DE（德）,ES（西班牙）,IT（意大利）,PT（葡萄牙）,KO（韩）,JP（日）,RU（俄罗斯）,PL（波兰）,TC（繁）,DA（丹麦）,CZ(捷克),瑞典,挪威,荷兰
路线详情页、虚拟路线详情页,,KW_PATH_COURSE_MILEAGE,里程,Distance,Distance,Distanz,Distancia,Distanza,Distância,거리,距離,Расстояние,Dystans,距離,Distance,Vzdálenost,Distans,Distanse,Afstand
路线详情页、虚拟路线详情页,H4,KW_PATH_COURSE_ALTITUDE,海拔(%s),Elevation (%s),Altitude (%s),Höhe (%s),Elevación(%s),Altitudine (%s),Elevação (%s),고도(%s),標高 (%s),Высота(%s),Wysokość (%s),海拔(%s),Højde (%s),Nadm. výška (%s),Höjd (%s),Høyde (%s),Hoogte (%s)
路线详情页、虚拟路线详情页,H4,KW_PATH_COURSE_SLOPE,坡度(%s),Grade (%s),Pente (%s),Steigung (%s),Pendiente(%s),Pendenza (%s),Inclinação (%s),경사(%s),勾配 (%s),Уклон(%s),Nachylenie (%s),坡度(%s),Stigning (%s),Sklon (%s),Lutning (%s),Helling (%s),Helling (%s)
结算页,,KW_PATH_COURSE_SLOPE_FOR_DETAIL,坡度(%s),GRADE (%s),PENTE (%s),STEIGUNG (%s),PENDIENTE (%s),PENDENZA (%s),INCLINAÇÃO (%s),경사(%s),勾配 (%s),УКЛОН (%s),NACHYLENIE (%s),坡度 (%s),STIGNING (%s),SKLON (%s),LUTNING (%s),HELLING (%s),HELLING (%s)
路线列表页、路线详情页、爬坡详情页、虚拟路线列表页、虚拟路线详情页、爬坡详情页、历史记录列表页、历史记录详情页、计圈页、数据统计页、表盘页、表盘页的专项弹窗,H5,KW_PATH_COURSE_KM,km,km,km,km,km,km,km,km,km,км,km,km,km,km,km,km,km
路线列表页、路线详情页、爬坡详情页、虚拟路线列表页、虚拟路线详情页、爬坡详情页、历史记录列表页、历史记录详情页、计圈页、数据统计页、表盘页、表盘页的专项弹窗,,KW_PATH_COURSE_MI,mi,mi,mi,mi,mi,mi,mi,mi,mi,миль,mi,mi,mi,mi,mi,mi,mi
路线详情页、虚拟路线详情页、爬坡详情页,H2,KW_PATH_COURSE_MIN_ALTITUDE,最小海拔,Min Elev.,ALT. MIN.,Min. Höhe,Elevación mín.,Alt. min.,Elevação Mínima,최저 고도,最低標高,Мин. Высота,Min. wysokość,最小海拔,Min. højde,Min. nadm. výška,Min. höjd,Min. høyde,Min. hoogte
路线详情页、虚拟路线详情页,H4,KW_PATH_COURSE_ADD_PATH_NOTICE,添加路线,Add Route,Ajouter itinéraire,Route hinzufügen,Añadir ruta,Aggiungi percorso,Adicionar Rota,경로 추가,ルート追加,Добавить маршрут,Dodaj trasę,添加路線,Tilføj rute,Přidat trasu,Lägg till rutt,Legg til rute,Route toevoegen
路线详情页、虚拟路线详情页、爬坡详情页,H2,KW_PATH_COURSE_MAX_ALTITUDE,最大海拔,Max Elev.,ALT. MAX.,Max. Höhe,Elevación máx.,Alt. max.,Elevação Máxima,최고 고도,最高標高,Макс. Высота,Maks. wysokość,最大海拔,Maks. højde,Max. nadm. výška,Max. Höjd,Maks. høyde,Max. hoogte
路线详情页、虚拟路线详情页、爬坡详情页,H2,KW_PATH_COURSE_AVG_ALTITUDE,平均海拔,Avg Elev.,ALT. MOY.,Ø Höhe,Elevación media,Alt. media,Elevação Média,평균 고도,平均標高,Средняя высота,Śr. wysokość,平均海拔,Gns. højde,Prům. nadm. výška,Snitthöjd,Snitt. høyde,Gem. hoogte
路线详情页、虚拟路线详情页、爬坡详情页,H2,KW_PATH_COURSE_DESCENT,累计下降,Descent,DÉNIV. NÉG.,Abstieg,Descenso,Discesa,Descida,하강고도,累積下降,Сброс высоты,Zjazd,累積下降,Descent,Klesání,Nedstigning,Nedstigning,Daling
路线详情页、虚拟路线详情页、爬坡详情页,H2,KW_PATH_COURSE_AVG_SLOPE,平均坡度,Avg Grade,Pente moy.,Ø Steigung,Pend. media,Pendenza media,Inclinação média,평균 경사도,平均勾配,Средний уклон,Śr. nachylenie,平均坡度,Gns. stigning,Prům. sklon,Snittlutning,Snitthelling,Gem. helling
路线详情页、虚拟路线详情页、爬坡详情页,H2,KW_PATH_COURSE_MAX_SLOPE,最大坡度,Max Grade,Pente max.,Max. Steigung,Pend. máx.,Pendenza max,Inclinação máx.,최대 경사도,最大勾配,Макс. уклон,Maks. nachylenie,最大坡度,Maks. stigning,Max. sklon,Maxlutning,Maks helling,Max. helling
路线详情页,H4,KW_PATH_COURSE_ADD_TO_RIDING_NOTICE,添加到骑行,Add to Ride,Ajouter à l'activité,Zur Fahrt hinzufügen,Agregar a la ruta,Aggiungi all'uscita,Adicionar à Pedalada,라이딩에 추가,ライドに追加,Добавить к поездке,Dodaj do jazdy,添加到騎乘,Føj til tur,Přidat k jízdě,Lägg till i tur,Legg til i økt,Aan rit toevoegen
路线列表页,H4,KW_PATH_COURSE_IMPORT_PATH_SUCESS_REMINDER,已成功导入1条路线,Imported 1 route.,1 itinéraire importé.,1 Route importiert.,1 ruta importada.,1 percorso importato.,1 rota importada.,경로 1개를 가져왔습니다.,1件のルートをインポートしました。,Импортирован 1 маршрут,Zaimportowano 1 trasę.,已成功加入1條路線,1 rute importeret.,Importována 1 trasa.,1 rutt importerad.,1 rute importert.,1 route geïmporteerd.
训练主页、课程训练列表页,,KW_PATH_COURSE_COURSE,课程训练,Workouts,Entraînements,Trainings,Entrenamientos,Allenamenti,Treinos,워크아웃,ワークアウト,Тренировки,Treningi,課表訓練,Træninger,Tréninky,Träningspass,Treningsøkter,Work-outs
骑行主页、训练主页、虚拟路线详情、训练目标页、表盘的导航弹窗,,KW_PATH_COURSE_CONTINUE_RIDE,继续骑行,Continue,Continuer,Fortsetzen,Continúe en,Continua,Continuar,계속,続行,Продолжить,Kontynuuj,繼續騎乘,Fortsæt,Pokračovat,Fortsätt,Fortsett,Doorgaan
骑行台训练页、训练主页、训练目标页、虚拟路线详情页,,KW_PATH_COURSE_SIMULATION_PATH,模拟路线,Simulated Routes,Itinéraires simulés,Simulierte Routen,Rutas simuladas,Percorsi simulati,Rotas Simuladas,시뮬레이션 경로,シミュレーションルート,Виртуальные маршруты,Trasy symulowane,模擬路線,Simulerede ruter,Simulované trasy,Simulerade rutter,Simulerte ruter,Gesimuleerde routes
训练主页,,KW_PATH_COURSE_ENTER_TRAINING,进入训练,Start Training,Démarrer l'entraînement,Training starten,Iniciar entrenamiento,Avvia training,Iniciar Treino,훈련 시작,トレーニング開始,Начать тренировку,Rozpocznij trening,進入訓練,Start træning,Spustit trénink,Starta träning,Start trening,Training starten
训练主页,,KW_PATH_COURSE_ENTER_COURSE,进入课程,Start Workout,Commencer l'entraînement,Workout starten,Comenzar el entrenamiento,Avvia allenamento,Iniciar Treino,워크아웃 시작,ワークアウト開始,Начать курс,Rozpocznij trening,進入課表,Start Workout,Spustit trénink,Starta pass,Start treningsøkt,Work-out starten
训练主页、训练目标页、虚拟路线详情页,,KW_PATH_COURSE_TARGET_POWER,目标功率,Target Pwr,Pui. cib.,Zielleistung,Pot. Obj.,Potenza target,Potência Alvo,목표 파워,目標PWR,Целевая мощн.,Moc docelowa,目標功率,Effekt Mål,Cílový výkon,Måleffekt,Målwatt,Doelvermogen
训练主页、训练目标页、虚拟路线详情页,,KW_PATH_COURSE_RESISTANCE_CLASS,阻力模式,Resistance,Résistance,Widerstand,​​Nv. Resist.​,Resistenza,Resistência,저항,抵抗,Сопротивление,Opór,阻力等級,Modstand,Odpor,Motstånd,Motstand,Weerstand
训练主页、训练目标页、虚拟路线详情页,,KW_PATH_COURSE_SLOPE_CLASS,坡度等级,Grade(%),Pente(%),Steigung (%),Pend.%,Pendenza (%),Inclinação(%),경사(%),勾配(%),Уклон(%),Nachylenie (%),坡度等級,Stigning (%),Sklon (%),Lutning(%),Helling (%),Helling(%)
路线详情页、虚拟路线详情页、爬坡详情页,,KW_PATH_COURSE_MIN_SLOPE,最小坡度,Min Grade,Pente min.,Min. Steigung,Inclinación mínima,Pendenza min.,Inclinação​​ Mín.,최저 경사,最小勾配,Мин уклон,Min. nachylenie,最小坡度,Min. stigning,Min. sklon,Min. lutning,Min. helling,Min. helling
路线详情页、虚拟路线详情页,,KW_PATH_COURSE_PATH_DETAIL,路线详情,Route Details,Détails itinéraire,Routendetails,Detalles de la ruta,Dettagli percorso,Detalhes da Rota,상세 경로,ルート詳細,Сведения о маршруте,Szczegóły trasy,路線詳情,Rutedetaljer,Detaily trasy,Ruttinformation,Rutedetaljer,Routedetails
训练主页、课程列表页,,KW_PATH_COURSE_NO_COURSE_NOTICE,暂无课程，请连接APP同步,No workouts available. Please connect to the APP to sync.,Aucun entraînement disponible. Veuillez vous connecter à l'APP pour synchroniser.,Keine Workouts verfügbar. Bitte verbinden Sie sich mit der APP zur Synchronisierung.,"No hay entrenamientos disponibles. Por favor, conéctate a la aplicación para sincronizar.",Nessun allenamento disponibile. Connettiti all'app per sincronizzare.,Sem treinos disponíveis. Conect ao APP para sincronizar.,사용 가능한 워크아웃이 없습니다. 앱에 연결하여 동기화해 주세요.,利用可能なワークアウトがありません。APPに接続して同期してください。,Нет тренировок. Подключитесь к приложению для синхронизации.,"Brak dostępnych treningów. Połącz z APP, aby zsynchronizować.",暫無課表，請連接APP同步,Ingen workouts tilgængelige. Forbind til APP'en for at synkronisere.,Žádné tréninky nejsou k dispozici. Připojte se k aplikaci pro synchronizaci.,Inga träningspass tillgängliga. Anslut till appen för att synka.,Ingen treningsøkter tilgjengelige. Koble til appen for å synkronisere.,Geen work-outs beschikbaar. Verbind met de app om te synchroniseren.
训练主页、课程列表页,,KW_PATH_COURSE_MAX_HEART_RATE_SHORT,MHR,MHR,FCM,MHF,FCM,FC MAX,FCM,최대 심박수,MHR,Макс ЧСС,MHR,MHR,MHR,MHR,Maxpuls,Makspuls,Max. hartslag
课程详情页,,KW_PATH_COURSE_COURSE_DETAIL,课程详情,Workout Details,Détails entraînement,Workout-Details,Detalles del entrenamiento,Dettagli allenamento,Detalhes do Treino,워크아웃 상세,ワークアウト詳細,Детали тренировки,Szczegóły treningu,課表詳情,Detaljer for Workout,Detaily tréninku,Passinformation,Detaljer for treningsøkt,Work-outdetails
课程详情页,,KW_PATH_COURSE_ADD_COURSE_NOTICE,添加课程,Add Workout,Ajouter entraînement,Workout hinzufügen,Añadir entrenamiento,Aggiungi allenamento,Adicionar Treino,워크아웃 추가,ワークアウト追加,Добавить тренировку,Dodaj trening,加入課表,Tilføj Workout,Přidat trénink,Lägg till träningspass,Legg til treningsøkt,Work-out toevoegen
课程详情页,,KW_PATH_COURSE_WARMUP_STAGE,热身阶段,Warm-up Phase,Phase d'échauffement,Aufwärmphase,Fase de calentamiento,Fase riscaldamento,Fase de Aquecimento,워밍업 단계,ウォームアップ,Разминка,Rozgrzewka,熱身階段,Opvarmningsfase,Fáze rozcvičení,Uppvärmningsfas,Oppvarming,Opwarmfase
课程详情页,,KW_PATH_COURSE_RIDING_STAGE,骑行阶段,Riding Phase,Phase de roulage,Fahrphase,Fase de conducción,Fase pedalata,Fase de Pedalada,라이딩 단계,ライド,Основная часть,Jazda,騎乘階段,Kørefase,Fáze jízdy,Cykelfas,Arbeidsperiode,Rijfase
课程详情页,,KW_PATH_COURSE_RECOVER_STAGE,恢复阶段,Recovery Phase,Phase de récupération,Erholungsphase,Fase de recuperación,Fase recupero,Fase de Recuperação,회복 단계,リカバリー,Восстановление,Regeneracja,恢復階段,Restitutionsfase,Fáze regenerace,Återhämtningsfas,Restitusjon,Herstelfase
课程详情页,,KW_PATH_COURSE_COOLING_STAGE,冷却阶段,Cooling-down Phase,Phase de retour au calme,Abkühlphase,Fase de enfriamiento,Fase defaticamento,Fase de Arrefecimento,쿨다운 단계,クールダウン,Заминка,Schładzanie,冷卻階段,Nedkølingsfase,Fáze zklidnění,Nedvarvningsfas,Nedkjøling,Afkoelfase
课程列表页,,KW_PATH_COURSE_IMPORT_COURSE_SUCCESS_REMINDER,已成功导入1条课程,Imported 1 workout.,1 entraînement importé.,1 Workout importiert.,Se ha importado 1 entrenamiento.,1 allenamento importato.,1 treino importado.,워크아웃 1개를 가져왔습니다.,1件のワークアウトをインポートしました。,Импортирована 1 тренировка,Zaimportowano 1 trening.,已成功導入1個課表,1 Workout importeret.,Importován 1 trénink.,1 träningspass importerat.,1 treningsøkt importert.,1 work-out geïmporteerd.
训练主页，下放1.7后删除,,KW_PATH_COURSE_ADD_SIMULATION_PATH_NOTICE,添加模拟路线,Add Simulated Route,Ajouter itinéraire simulé,Simulierte Route hinzufügen,Agregar ruta simulada,Aggiungi percorso simulato,Adicionar Rota Simulada,시뮬레이션 경로 추가,シミュレーションルート追加,Добавить виртуальный маршрут,Dodaj trasę symulowaną,加入模擬路線,Tilføj simuleret rute,Přidat simulovanou trasu,Lägg till simulerad rutt,Legg til simulert rute,Gesimuleerde route toevoegen
训练主页,,KW_PATH_COURSE_NO_SIMULATION_PATH_ADDED_NOTICE,未添加模拟路线,No simulated route added.,Aucun itinéraire simulé ajouté.,Keine simulierte Route hinzugefügt.,No se ha agregado ninguna ruta simulada.,Nessun percorso simulato aggiunto.,Nenhuma rota simulada adicionada.,추가된 시뮬레이션 경로가 없습니다.,シミュレーションルートが追加されていません。,Виртуальные маршруты не добавлены,Nie dodano trasy symulowanej.,未加入模擬路線,Ingen simuleret rute tilføjet.,Nebyla přidána žádná simulovaná trasa.,Ingen simulerad rutt tillagd.,Ingen simulert rute lagt til.,Geen gesimuleerde route toegevoegd.
骑行主页、训练主页,,KW_PATH_COURSE_NO_CONNECTED_SENSOR_NOTICE,当前未连接传感器,No connected sensors.,Aucun capteur connecté.,Keine verbundenen Sensoren.,No hay sensores conectados.,Nessun sensore connesso.,Nenhum sensor ligado.,연결된 센서가 없습니다.,接続されたセンサーがありません。,Датчики не подключены,Brak podłączonych czujników.,目前未連接感測器,Ingen tilsluttede sensorer.,Žádné připojené senzory.,Inga anslutna sensorer.,Ingen tilkoblede sensorer.,Geen verbonden sensoren.
训练主页,,KW_PATH_COURSE_SIMULATION_PATH_ADDED_NOTICE,模拟路线,Simulated Routes,Itinéraires simulés,Simulierte Routen,Ruta simulada,Percorsi simulati,Rotas Simuladas,시뮬레이션 경로,シミュレーションルート,Виртуальные маршруты,Trasy symulowane,模擬路線,Simulerede ruter,Simulované trasy,Simulerade rutter,Simulerte ruter,Gesimuleerde routes
训练主页,,KW_PATH_COURSE_SIMULATION_PATH_DEL_REMINDER,是否不再使用当前模拟路线？,Stop using the current simulated route?,Arrêter d'utiliser l'itinéraire simulé actuel ?,Aktuelle simulierte Route nicht mehr verwenden?,¿Deseas dejar de usar la ruta simulada actual?,Smettere di usare il percorso simulato corrente?,Parar de usar a rota simulada atual?,현재 시뮬레이션 중인 경로를 종료하시겠습니까?,現在のシミュレーションルートの使用を停止しますか？,Прекратить текущий виртуальный маршрут?,Przestać używać bieżącej trasy symulowanej?,是否不再使用目前模擬路線？,Stop med at bruge den aktuelle simulerede rute?,Přestat používat aktuální simulovanou trasu?,Sluta använda aktuell simulerad rutt?,Stopp navigering på gjeldende simulerte rute?,Huidige gesimuleerde route niet meer gebruiken?
训练主页,,KW_PATH_COURSE_OVER_RIDE_NOTICE,"请先结束当前骑行, 再开启其他模式",Please end the current ride before switching modes,Veuillez terminer l'activité en cours avant de changer de mode,"Bitte beenden Sie die aktuelle Fahrt, bevor Sie den Modus wechseln","Por favor, finalice la ruta actual antes de cambiar de modo",Termina l'uscita corrente prima di cambiare modalità,Termine a pedalada atual antes de mudar de modo,모드를 전환하기 전에 현재 라이딩을 종료해 주세요.,モードを切り替える前に現在のライドを終了してください,Завершите текущую поездку перед сменой режима,Przed przełączeniem trybu zakończ bieżącą jazdę,"請先结束目前騎乘, 再開啟其他模式",Afslut venligst den aktuelle tur før du skifter tilstand,Před přepnutím režimu ukončete aktuální jízdu,Avsluta den aktuella turen innan du byter läge,Avslutt gjeldende tur før du bytter modus,Beëindig de huidige rit voordat je van modus wisselt
训练主页、虚拟路线列表页,,KW_PATH_COURSE_NO_SIMULATION_PATH_NOTICE,暂无模拟路线，请连接APP同步,No simulated routes available. Please connect to the APP to sync.,Aucun itinéraire simulé disponible. Veuillez vous connecter à l'APP pour synchroniser.,Keine simulierten Routen verfügbar. Bitte verbinden Sie sich mit der APP zur Synchronisierung.,"No hay rutas simuladas disponibles. Por favor, conéctate a la aplicación para sincronizar.",Nessun percorso simulato disponibile. Connettiti all'app per sincronizzare.,Sem rotas simuladas disponíveis. Ligue-se à APP para sincronizar.,사용 가능한 시뮬레이션 경로가 없습니다. 앱에 연결하여 동기화해 주세요.,利用可能なシミュレーションルートがありません。APPに接続して同期してください。,Виртуальные маршруты отсутствуют. Подключитесь к приложению для синхронизации,"Brak tras symulowanych. Połącz z APP, aby zsynchronizować.",暫無模擬路線，請連接APP同步,Ingen simulerede ruter tilgængelige. Forbind til APP'en for at synkronisere.,Žádné simulované trasy nejsou k dispozici. Připojte se k aplikaci pro synchronizaci.,Inga simulerade rutter tillgängliga.\nAnslut till appen för att synka.,Ingen simulerte ruter tilgjengelig. Koble til appen for å synkronisere.,Geen gesimuleerde routes beschikbaar. Verbind met de app om te synchroniseren.
虚拟路线列表页,,KW_PATH_COURSE_IMPORT_SIMULATION_PATH_SUCCESS_REMINDER,已成功导入1条模拟路线,Imported 1 simulated route.,1 itinéraire simulé importé.,1 simulierte Route importiert.,Se ha importado 1 ruta simulada.,1 percorso simulato importato.,1 rota simulada importada.,시뮬레이션 경로 1개를 가져왔습니다.,1件のシミュレーションルートをインポートしました。,Импортирован 1 виртуальный маршрут,Zaimportowano 1 trasę symulowaną.,已成功加入1條模擬路線,1 simuleret rute importeret.,Importována 1 simulovaná trasa.,1 simulerad rutt importerad.,1 simulert rute importert.,1 gesimuleerde route geïmporteerd.
骑行主页、训练主页、训练目标页、课程详情页,,KW_PATH_COURSE_RECORD_OVERWRITE_REMINDER,内存已满，本次骑行记录将覆盖最早记录,"Storage is full, this cycling record will overwrite the earliest one.","Mémoire pleine, cet enregistrement remplacera le plus ancien.","Der Speicher ist voll, dieser Fahrtdatensatz überschreibt den ältesten.","El almacenamiento está lleno, este registro de ciclismo sobrescribirá el más antiguo.","Memoria piena, questa attività sovrascriverà la più vecchia.","O armazenamento está cheio, este registo de ciclismo irá substituir o mais antigo.",저장 공간이 가득 차 가장 오래된 기록이 삭제되고 새 기록이 저장됩니다.,ストレージがいっぱいです。この記録は最も古い記録を上書きします。,"Память заполнена, текущая запись поездки заменит самую раннюю","Pamięć jest pełna, ten zapis jazdy nadpisze najstarszy.",記憶體已滿，本次騎乘記錄將覆蓋最早記錄,"Lageret er fuldt, denne tur overskriver den tidligste.","Úložiště je plné, tento záznam jízdy přepíše nejstarší.",Lagringsutrymmet är fullt.\nDen här cykelposten kommer att skriva över den äldsta.,Lagringen er full. Denne økten vil overskrive den eldste.,De opslag is vol. Deze ritregistratie overschrijft de oudste.
课程1.4版本新增,,KW_PATH_COURSE_END_RIDE_COURSE_REMINDER,是否结束当前课程？,End current workout?,Terminer l'entraînement actuel ?,Aktuelles Workout beenden?,¿Finalizar el entrenamiento?,Terminare l'allenamento corrente?,Terminar o treino atual?,현재 워크아웃을 종료할까요?,現在のワークアウトを終了しますか？,Завершить эту тренировку?,Zakończyć bieżący trening?,是否結束目前課表？,Afslut aktuelt workout?,Ukončit aktuální trénink?,Avsluta aktuellt träningspass?,Avslutte gjeldende treningsøkt?,Huidige work-out beëindigen?
课程1.4版本新增,,KW_PATH_COURSE_SWITCH_RIDE_NEW_COURSE_REMINDER,是否结束当前课程，开始新课程？,End current workout and start a new one?,Terminer l'entraînement actuel et en démarrer un nouveau ?,Aktuelles Workout beenden und ein neues starten?,¿Finalizar entrenamiento y comenzar uno nuevo?,Terminare l'allenamento corrente e avviarne uno nuovo?,Terminar o treino atual e iniciar um novo?,현재 워크아웃을 종료하고 새로 시작할까요?,現在のワークアウトを終了して新しいワークアウトを開始しますか？,Завершить тренировку и начать новую?,Zakończyć bieżący trening i rozpocząć nowy?,是否結束目前課表，開始新課表？,Afslut aktuelt workout og start en ny?,Ukončit aktuální trénink a spustit nový?,Avsluta aktuellt träningspass och starta ett nytt?,Avslutt gjeldende treningsøkt og start en ny?,Huidige work-out beëindigen en een nieuwe starten?
课程1.4版本新增,,KW_PATH_COURSE_INTERVAL_REST_DIST,间歇剩余里程,Interval Dist. Remain,Dist. rest. intervalle,Verbl. Intervall-Dist.,Dist.Restante Intervalo,Dist. interv. rim.,Dist. Interv. Rest.,인터벌 남은 거리,インターバル残り距離,Остаток дист. Интервала,Pozost. dyst. interwału,間歇剩餘距離,Interval -dist. tilbage,Zbýv. vzdál. intervalu,Återst. intervalldist.,Gjenværende intervalldist.,Resterende intervalafstand
课程1.4版本新增,,KW_PATH_COURSE_LTHR_FULL_NAME,乳酸阈值心率,LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,乳酸閾值心率,LTHR,LTHR,Tröskelpuls,Terskelpuls,Drempelhartslag
课程1.4版本新增,,KW_PATH_COURSE_COURSE_OVER_NOTICE,课程即将结束,Workout nearing completion,Entraînement presque terminé,Workout nähert sich dem Ende,El entrenamiento está llegando a su fin,Allenamento quasi completato,Treino quase concluído,워크아웃이 곧 완료됩니다,ワークアウトがまもなく完了します,Тренировка скоро завершится,Trening zbliża się do końca,課表即將結束,Workput næsten færdig,Trénink se blíží ke konci,Träningspasset är snart klart,Treningsøkten er snart fullført,Work-out bijna voltooid
课程1.4版本新增,,KW_PATH_COURSE_RPE,RPE,RPE,RPE,RPE,RPE,RPE,RPE,RPE,RPE,RPE,RPE,RPE,RPE,RPE,RPE,RPE,RPE
课程1.4版本新增,,KW_PATH_COURSE_ABANDON_COURSE_REMINDER,是否不再使用当前课程？,Stop using the current workouts?,Arrêter les entraînements actuels ?,Aktuelles Workout nicht mehr verwenden?,¿Dejar de usar los entrenamientos actuales ?,Smettere di usare l'allenamento corrente?,Parar de usar os treinos atuais?,현재 진행 중인 워크아웃을 종료하시겠습니까?,現在のワークアウトの使用を停止しますか？,Прекратить текущую тренировку?,Przestać używać bieżącego treningu?,是否不再使用目前課表？,Stop med at bruge den aktuelle Workout,Přestat používat aktuální trénink?,Sluta använda aktuellt träningspass?,Stopp gjeldende treningsøkt?,Huidige work-out niet meer gebruiken?
课程1.4版本新增,,KW_PATH_COURSE_SWITCH_CHOICE_NEW_COURSE_REMINDER,是否不再使用当前课程，使用新课程？,Discontinue current workout for a new one?,Arrêter l'entraînement actuel pour en démarrer un nouveau ?,Aktuelles Workout abbrechen und ein neues starten?,¿No usar este entrenamiento y comienzas uno nuevo?,Interrompere l'allenamento corrente per uno nuovo?,Interromper o treino atual para iniciar um novo?,현재 워크아웃을 중단하고 새 워크아웃을 시작할까요?,現在のワークアウトを中止して新しいワークアウトに切り替えますか？,Прекратить текущую тренировку и начать новую?,Przerwać bieżący trening i rozpocząć nowy?,是否不再使用目前課表，使用新課表？,Afbryd aktuel workout og start en ny?,Ukončit aktuální trénink a spustit nový?,Avbryt aktuellt träningspass för ett nytt?,Avbryt gjeldende treningsøkt for å starte en ny?,Huidige work-out stoppen voor een nieuwe?
课程1.4版本新增,,KW_PATH_COURSE_END_CHOICE_COURSE_REMINDER,是否不再使用当前路线？,Stop using the current route?,Arrêter d'utiliser l'itinéraire actuel ?,Aktuelle Route nicht mehr verwenden?,¿Dejar de usar la ruta actual ?,Smettere di usare il percorso corrente?,Parar de usar a rota atual?,현재 사용 중인 경로를 종료하시겠습니까?,現在のルートの使用を停止しますか？,Прекратить текущий маршрут?,Przestać używać bieżącej trasy?,是否不再使用目前路線？,Stop med at bruge den aktuelle rute?,Přestat používat aktuální trasu?,Sluta använda aktuell rutt?,Stopp navigering på gjeldende rute?,Huidige route niet meer gebruiken?
课程1.4版本新增,,KW_PATH_COURSE_LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,LTHR,Tröskelpuls,Terskelpuls,Drempelhartslag
骑行主页,,KW_PATH_COURSE_DEL_PATH_REMINDER,删除此路线?,Delete this route?,Supprimer cet itinéraire ?,Diese Route löschen?,¿Eliminar esta ruta?,Eliminare questo percorso?,Eliminar esta rota?,이 경로를 삭제하시겠습니까?,このルートを削除しますか？,Удалить этот маршрут?,Usunąć tę trasę?,刪除此路線？,Slet denne rute?,Smazat tuto trasu?,Ta bort den här rutten?,Slett denne ruten?,Deze route verwijderen?
骑行主页,,KW_RIDE_NO_PATH_NOTICE,暂无路线，请连接APP同步,No routes available. Please connect to the APP to sync.,Aucun itinéraire disponible. Veuillez vous connecter à l'APP pour synchroniser.,Keine Routen verfügbar. Bitte verbinden Sie sich mit der APP zur Synchronisierung.,"No hay rutas disponibles. Por favor, conéctate a la aplicación para sincronizar.",Nessun percorso disponibile. Connettiti all'app per sincronizzare.,Sem rotas disponíveis. Ligue-se à APP para sincronizar.,사용 가능한 경로가 없습니다. 앱에 연결하여 동기화해 주세요.,利用可能なルートがありません。APPに接続して同期してください。,Нет маршрутов. Подключитесь к приложению для синхронизации,"Brak tras. Połącz z APP, aby zsynchronizować.",暫無路線，請連接APP同步,Ingen ruter tilgængelige. Forbind til APP'en for at synkronisere.,Žádné trasy nejsou k dispozici. Připojte se k aplikaci pro synchronizaci.,Inga rutter tillgängliga.\nAnslut till appen för att synka.,Ingen ruter tilgjengelig. Koble til appen for å synkronisere.,Geen routes beschikbaar. Verbind met de app om te synchroniseren.
传感器列表页、首页-更多功能页,,KW_SENSOR_SENSOR,传感器,Sensors,Capteurs,Sensoren,Sensores,Sensori,Sensores,센서,センサー,Датчики,Czujniki,感測器,Sensorer,Senzory,Sensorer,Sensorer,Sensoren
传感器搜索页、搜索类型选择页,H5,KW_SENSOR_SPD_CAD,速度/踏频,Speed/Cadence,Vitesse/Cadence,Geschwindigkeit/Trittfrequenz,Velocidad/Cadencia,Vel./Cad.,Velocidade/Cadência,속도/케이던스,速度/ケイデンス,Скорость/Каденс,Prędkość/Kadencja,速度/踏頻,Fart/Kadence,Rychl./Kadence,Hastighet/kadens,Hastighet/Kadens,Snelheid/cadans
首页、训练主页、传感器列表页、传感器搜索页、传感器搜索类型选择页、车灯组网页、传感器低电量提醒弹窗,H5,KW_SENSOR_BIKE_TRAINER,骑行台,Trainer,Entraîneur,Trainer,Rodillo,Trainer,Treinador,트레이너,トレーナー,Велостанок,Trenażer,訓練台,Trainer,Trenažér,Trainer,Rulle,Trainer
首页、训练主页、传感器列表页、传感器搜索页、传感器搜索类型选择页、车灯组网页、传感器低电量提醒弹窗,H5,KW_SENSOR_LIGHT,车灯,Bikelight,Éclairage vélo,Fahrradlicht,Luz de bicicleta,Luce bici,Luz da Bicicleta,자전거 라이트,バイクライト,Велофара,Światło rowerowe,車燈,Cykellygte,Světlo,Cykellampa,Sykkellyss,Fietsverlichting
首页、训练主页、传感器列表页、传感器搜索页、传感器搜索类型选择页、车灯组网页、传感器低电量提醒弹窗,H5,KW_SENSOR_SHIFTING,电子变速,Electronic Shifting,Changement électronique,Elektronisches Schalten,Cambio electrónico,Cambio elettronico,Mudança Eletrónica,전자 변속,電子変速,Эл. трансмиссия,Elektroniczne przerzutki,電子變速系統,Elektronisk gearskifte,Elektronické řazení,Elektronisk växling,Elektronisk giring,Elektronisch schakelen
