词条所在界面（注意是界面不是模块！！）,KW,,中文,英文,法语,德语,西班牙语,意大利语,葡萄牙语,韩语,日语,俄语,波兰语,繁体中文,丹麦语,捷克语,瑞典语,挪威语,荷兰语,泰语,芬兰语,土耳其语,,
,KW_RIDE_RECORD_UPLOAD,,上传,Upload,Téléverser,Hochladen,Subir,Carica,Carregar,업로드,アップロード,Загрузить,Prześlij,上傳,Upload,Nahrát,Ladda upp,Last opp,Uploaden,อัปโหลด,Lataa,Yükle,,
,KW_RIDE_RECORD_UPLOAD_FAIL_NOTICE,,上传失败，连接 App 或蓝牙热点重试,Upload failed. Connect to the app or Bluetooth hotspot and try again.,"Échec du téléversement. Connectez-vous à l’app ou au point d’accès Bluetooth, puis réessayez.",Hochladen fehlgeschlagen. Verbinde dich mit der App oder dem Bluetooth-Hotspot und versuche es erneut.,Error al subir. Conéctate a la app o al punto de acceso Bluetooth e inténtalo de nuevo.,Caricamento non riuscito. Connettiti all’app o all’hotspot Bluetooth e riprova.,Falha ao carregar. Conecte-se ao app ou ao hotspot Bluetooth e tente novamente.,업로드에 실패했습니다. 앱 또는 블루투스 핫스팟에 연결한 후 다시 시도하세요.,アップロードに失敗しました。アプリまたはBluetoothホットスポットに接続して、もう一度お試しください。,Не удалось загрузить. Подключитесь к приложению или точке доступа Bluetooth и повторите попытку.,Przesyłanie nie powiodło się. Połącz się z aplikacją lub hotspotem Bluetooth i spróbuj ponownie.,上傳失敗。請連接 App 或藍牙熱點後重試。,"Upload mislykkedes. Opret forbindelse til appen eller Bluetooth-hotspottet, og prøv igen.",Nahrávání se nezdařilo. Připojte se k aplikaci nebo hotspotu Bluetooth a zkuste to znovu.,Uppladdningen misslyckades. Anslut till appen eller Bluetooth-hotspoten och försök igen.,Opplasting mislyktes. Koble til appen eller Bluetooth-hotspotten og prøv igjen.,Uploaden mislukt. Maak verbinding met de app of Bluetooth-hotspot en probeer het opnieuw.,อัปโหลดไม่สำเร็จ โปรดเชื่อมต่อกับแอปหรือฮอตสปอตบลูทูธแล้วลองอีกครั้ง,Lataus epäonnistui. Yhdistä sovellukseen tai Bluetooth-hotspotiin ja yritä uudelleen.,Yükleme başarısız. Uygulamaya veya Bluetooth erişim noktasına bağlanıp tekrar deneyin.,,
,,史东升,,,,,,,,,,,,,,,,,,,,,,
表盘编辑-选择数据项页面,KW_RIDE_CYCLING_DATA,,骑行数据,Cycling Data,Données de cyclisme,Raddaten,Datos de ciclismo,Dati ciclismo,Dados de ciclismo,사이클링 데이터,サイクリングデータ,Данные велопоездки,Dane jazdy,騎行資料,Cykeldata,Cyklistická data,Cykeldata,Sykkeldata,Fietsgegevens,ข้อมูลการขี่,Pyöräilydata,Bisiklet verileri,,
表盘页面,KW_RIDE_DASHBOARD_CANNOT_EDIT,,当前表盘不可编辑,Current dashboard cannot be edited,Le tableau de bord actuel ne peut pas être modifié,Das aktuelle Dashboard kann nicht bearbeitet werden,El panel actual no se puede editar,La schermata dati corrente non può essere modificata,O painel atual não pode ser editado,현재 대시보드는 편집할 수 없습니다,現在のダッシュボードは編集できません,Текущую панель нельзя редактировать,Nie można edytować bieżącego panelu,目前儀表板無法編輯,Det aktuelle dashboard kan ikke redigeres,Aktuální panel nelze upravit,Den aktuella instrumentpanelen kan inte redigeras,Gjeldende dashbord kan ikke redigeres,Het huidige dashboard kan niet worden bewerkt,ไม่สามารถแก้ไขแดชบอร์ดปัจจุบันได้,Nykyistä kojelautaa ei voi muokata,Geçerli gösterge ekranı düzenlenemez,,
骑行场景设置页面,KW_SETTING_BIKE_SETTINGS,,车辆设置,Bike Settings,Paramètres du vélo,Fahrradeinstellungen,Configuración de la bici,Impostazioni bici,Configurações da bicicleta,자전거 설정,バイク設定,Настройки велосипеда,Ustawienia roweru,車輛設定,Cykelindstillinger,Nastavení kola,Cykelinställningar,Sykkelinnstillinger,Fietsinstellingen,การตั้งค่าจักรยาน,Pyöräasetukset,Bisiklet ayarları,,
,,盛永帮,,,,,,,,,,,,,,,,,,,,,,
点击导航按钮进入导航列表页,KW_RIDE_LOCATION_POINT,,位置点,Location Point,Point de position,Positionspunkt,Punto de ubicación,Punto posizione,Ponto de localização,위치 지점,位置ポイント,Точка местоположения,Punkt lokalizacji,位置點,Positionspunkt,Bod polohy,Positionspunkt,Posisjonspunkt,Locatiepunt,จุดตำแหน่ง,Sijaintipiste,Konum noktası,,
码表位置点列表页,KW_RIDE_NO_LOCATION_POINT_NOTICE,,暂无位置点，请使用码表或App添加,No location points available. Please add them using the bike computer or app.,Aucun point de position disponible. Veuillez en ajouter à l’aide du compteur vélo ou de l’app.,Keine Positionspunkte verfügbar. Bitte füge sie über den Fahrradcomputer oder die App hinzu.,No hay puntos de ubicación disponibles. Añádelos con el ciclocomputador o la app.,Nessun punto posizione disponibile. Aggiungili tramite il ciclocomputer o l’app.,Nenhum ponto de localização disponível. Adicione-os usando o ciclocomputador ou o app.,사용 가능한 위치 지점이 없습니다. 자전거 컴퓨터 또는 앱에서 추가하세요.,利用可能な位置ポイントがありません。サイクルコンピューターまたはアプリで追加してください。,Нет доступных точек местоположения. Добавьте их с помощью велокомпьютера или приложения.,Brak dostępnych punktów lokalizacji. Dodaj je za pomocą licznika rowerowego lub aplikacji.,沒有可用的位置點。請使用碼錶或 App 新增。,Ingen positionspunkter tilgængelige. Tilføj dem med cykelcomputeren eller appen.,Nejsou k dispozici žádné body polohy. Přidejte je pomocí cyklopočítače nebo aplikace.,Inga positionspunkter tillgängliga. Lägg till dem med cykeldatorn eller appen.,Ingen posisjonspunkter tilgjengelig. Legg dem til med sykkelcomputeren eller appen.,Geen locatiepunten beschikbaar. Voeg ze toe met de fietscomputer of app.,ไม่มีจุดตำแหน่ง โปรดเพิ่มโดยใช้ไมล์จักรยานหรือแอป,Sijaintipisteitä ei ole saatavilla. Lisää niitä pyörätietokoneella tai sovelluksella.,Konum noktası yok. Lütfen bisiklet bilgisayarı veya uygulama ile ekleyin.,,
码表位置点列表页,KW_GLOBAL_NUMBER,,数量,Number,Numéro,Nummer,Número,Numero,Número,번호,番号,Номер,Numer,編號,Nummer,Číslo,Nummer,Nummer,Nummer,หมายเลข,Numero,Numara,,
码表位置点详情页,KW_RIDE_NAVIGATION,,导航,Navigation,Navigation,Navigation,Navegación,Navigazione,Navegação,내비게이션,ナビゲーション,Навигация,Nawigacja,導航,Navigation,Navigace,Navigering,Navigasjon,Navigatie,การนำทาง,Navigointi,Navigasyon,,
码表导航选择页面,KW_RIDE_ROUTE,,路线,Route,Itinéraire,Route,Ruta,Percorso,Rota,경로,ルート,Маршрут,Trasa,路線,Rute,Trasa,Rutt,Rute,Route,เส้นทาง,Reitti,Rota,,
码表路线列表页,KW_RIDE_NO_ROUTE_NOTICE,,暂无路线，请连接 App 同步,No routes available. Please connect to the app to sync.,Aucun itinéraire disponible. Connectez-vous à l’app pour synchroniser.,Keine Routen verfügbar. Bitte verbinde dich zur Synchronisierung mit der App.,No hay rutas disponibles. Conéctate a la app para sincronizar.,Nessun percorso disponibile. Connettiti all’app per sincronizzare.,Nenhuma rota disponível. Conecte-se ao app para sincronizar.,사용 가능한 경로가 없습니다. 동기화하려면 앱에 연결하세요.,利用可能なルートがありません。アプリに接続して同期してください。,Нет доступных маршрутов. Подключитесь к приложению для синхронизации.,"Brak dostępnych tras. Połącz się z aplikacją, aby zsynchronizować.",沒有可用路線。請連接 App 進行同步。,Ingen ruter tilgængelige. Opret forbindelse til appen for at synkronisere.,Nejsou k dispozici žádné trasy. Připojte se k aplikaci pro synchronizaci.,Inga rutter tillgängliga. Anslut till appen för att synkronisera.,Ingen ruter tilgjengelig. Koble til appen for å synkronisere.,Geen routes beschikbaar. Maak verbinding met de app om te synchroniseren.,ไม่มีเส้นทาง โปรดเชื่อมต่อกับแอปเพื่อซิงค์,Reittejä ei ole saatavilla. Yhdistä sovellukseen synkronointia varten.,Rota yok. Eşitlemek için uygulamaya bağlanın.,,
码表路线列表页,KW_RIDE_CURRENT_ROUTE_COUNT,,当前路线数量,Current Route Count,Nombre d’itinéraires actuels,Aktuelle Routenanzahl,Número de rutas actuales,Numero percorsi correnti,Contagem de rotas atuais,현재 경로 수,現在のルート数,Количество текущих маршрутов,Liczba bieżących tras,目前路線數量,Aktuelt antal ruter,Počet aktuálních tras,Aktuellt antal rutter,Gjeldende antall ruter,Huidig aantal routes,จำนวนเส้นทางปัจจุบัน,Nykyinen reittien määrä,Geçerli rota sayısı,,
码表路线详情页,KW_RIDE_ROUTE_START,,起点,Start,Début,Start,Inicio,Inizio,Início,시작,開始,Старт,Start,起點,Start,Start,Start,Start,Start,จุดเริ่มต้น,Alku,Başlangıç,,
码表路线详情页,KW_RIDE_ROUTE_END,,终点,End,Fin,Ende,Fin,Fine,Fim,종료,終了,Финиш,Koniec,終點,Slut,Konec,Slut,Slutt,Einde,จุดสิ้นสุด,Loppu,Bitiş,,
码表路线详情页,KW_RIDE_ROUTE_ASCENT,,上升,Ascent,Dénivelé +,Anstieg,Ascenso,Ascesa,Subida,상승 고도,上昇量,Набор высоты,Przewyższenie,爬升,Stigning,Stoupání,Stigning,Stigning,Stijging,ความสูงสะสม,Nousu,Tırmanış,,
码表路线详情页,KW_RIDE_ROUTE_CLIMB,,爬坡,Climb,Montée,Anstieg,Subida,Salita,Subida,클라임,クライム,Подъём,Podjazd,爬坡,Stigning,Stoupání,Klättring,Stigning,Klim,เนิน,Nousu,Tırmanış,,
码表路线详情页,KW_RIDE_ROUTE_CLIMB_SEGMENT,,爬坡段,Climb Segment,Segment de montée,Anstiegssegment,Segmento de subida,Segmento di salita,Segmento de subida,클라임 구간,クライムセグメント,Сегмент подъёма,Segment podjazdu,爬坡賽段,Stigningssegment,Segment stoupání,Klättringssegment,Stigningssegment,Klimsegment,ช่วงเนิน,Noususegmentti,Tırmanış segmenti,,
码表路线详情页,KW_RIDE_ROUTE_TOTAL_DISTANCE,,总距离,Total Distance,Distance totale,Gesamtdistanz,Distancia total,Distanza totale,Distância total,총 거리,総距離,Общее расстояние,Łączny dystans,總距離,Samlet distance,Celková vzdálenost,Total distans,Total distanse,Totale afstand,ระยะทางรวม,Kokonaismatka,Toplam mesafe,,
码表路线详情页,KW_RIDE_ROUTE_TOTAL_ASCENT,,总上升,Total Ascent,Dénivelé positif total,Gesamtanstieg,Ascenso total,Ascesa totale,Subida total,총 상승 고도,総上昇量,Общий набор высоты,Łączne przewyższenie,總爬升,Samlet stigning,Celkové stoupání,Total stigning,Total stigning,Totale stijging,ความสูงสะสมรวม,Kokonaisnousu,Toplam tırmanış,,
码表路线详情页,KW_RIDE_RECORD_ELEVATION,,海拔,Elevation,Altitude,Höhe,Altitud,Altitudine,Altitude,고도,標高,Высота,Wysokość,海拔,Højde,Nadmořská výška,Höjd,Høyde,Hoogte,ความสูง,Korkeus,Yükseklik,,
码表路线详情页,KW_RIDE_ROUTE_MAX_ELEV,,最大海拔,Max Elev.,Alt. max.,Max. Höhe,Alt. máx.,Altitudine max,Elevação máx.,최고 고도,最高標高,Макс. высота,Maks. wys.,最大海拔,Maks. højde,Max. výška,Max höjd,Maks. høyde,Max. hoogte,ความสูงสูงสุด,Maks. korkeus,Maks. yükseklik,,
码表路线详情页,KW_RIDE_ROUTE_MIN_ELEV,,最小海拔,Min Elev.,Alt. min.,Min. Höhe,Alt. mín.,Altitudine min,Elevação mín.,최저 고도,最低標高,Мин. высота,Min. wys.,最小海拔,Min. højde,Min. výška,Min höjd,Min. høyde,Min. hoogte,ความสูงต่ำสุด,Min. korkeus,Min. yükseklik,,
码表路线详情页,KW_RIDE_ROUTE_AVG_ELEV,,平均海拔,Avg Elev.,Alt. moy.,Ø Höhe,Alt. media,Altitudine media,Elevação média,평균 고도,平均標高,Ср. высота,Śr. wys.,平均海拔,Gns. højde,Prům. výška,Snitthöjd,Gj.sn. høyde,Gem. hoogte,ความสูงเฉลี่ย,Keskim. korkeus,Ort. yükseklik,,
码表路线详情页,KW_RIDE_RECORD_GRADE,,坡度,Grade,Pente,Steigung,Pendiente,Pendenza,Inclinação,경사도,勾配,Уклон,Nachylenie,坡度,Stigning,Sklon,Lutning,Stigning,Helling,ความชัน,Kaltevuus,Eğim,,
码表路线详情页,KW_RIDE_ROUTE_MAX_GRADE,,最大坡度,Max Grade,Pente max.,Max. Steigung,Pendiente máx.,Pendenza max,Inclinação máx.,최대 경사도,最大勾配,Макс. уклон,Maks. nachylenie,最大坡度,Maks. stigning,Max. sklon,Max lutning,Maks. stigning,Max. helling,ความชันสูงสุด,Maks. kaltevuus,Maks. eğim,,
码表路线详情页,KW_RIDE_ROUTE_MIN_GRADE,,最小坡度,Min Grade,Pente min.,Min. Steigung,Pendiente mín.,Pendenza min,Inclinação mín.,최소 경사도,最小勾配,Мин. уклон,Min. nachylenie,最小坡度,Min. stigning,Min. sklon,Min lutning,Min. stigning,Min. helling,ความชันต่ำสุด,Min. kaltevuus,Min. eğim,,
码表路线详情页,KW_RIDE_ROUTE_AVG_GRADE,,平均坡度,Avg Grade,Pente moy.,Ø Steigung,Pendiente media,Pendenza media,Inclinação média,평균 경사도,平均勾配,Ср. уклон,Śr. nachylenie,平均坡度,Gns. stigning,Prům. sklon,Snittlutning,Gj.sn. stigning,Gem. helling,ความชันเฉลี่ย,Keskim. kaltevuus,Ort. eğim,,
码表路线详情页,KW_RIDE_ROUTE_ADD_TO_RIDE,,添加至骑行,Add to Ride,Ajouter à la sortie,Zur Fahrt hinzufügen,Añadir a la salida,Aggiungi all’uscita,Adicionar à pedalada,라이딩에 추가,ライドに追加,Добавить к поездке,Dodaj do jazdy,新增至騎行,Føj til tur,Přidat k jízdě,Lägg till i cykeltur,Legg til i tur,Toevoegen aan rit,เพิ่มไปยังการขี่,Lisää ajoon,Sürüşe ekle,,
码表路线详情页,KW_RIDE_NAVIGATION,,导航,Navigation,Navigation,Navigation,Navegación,Navigazione,Navegação,내비게이션,ナビゲーション,Навигация,Nawigacja,導航,Navigation,Navigace,Navigering,Navigasjon,Navigatie,การนำทาง,Navigointi,Navigasyon,,
爬坡列表页面,KW_RIDE_RECORD_GRADE,,坡度,Grade,Pente,Steigung,Pendiente,Pendenza,Inclinação,경사도,勾配,Уклон,Nachylenie,坡度,Stigning,Sklon,Lutning,Stigning,Helling,ความชัน,Kaltevuus,Eğim,,
爬坡列表页面,KW_RIDE_CLIMB_LIST_DISTANCE,,里程,Distance,Distance,Distanz,Distancia,Distanza,Distância,거리,距離,Расстояние,Dystans,距離,Distance,Vzdálenost,Distans,Distanse,Afstand,ระยะทาง,Matka,Mesafe,,
爬坡列表页面,KW_RIDE_ROUTE_ASCENT,,上升,Ascent,Dénivelé +,Anstieg,Ascenso,Ascesa,Subida,상승 고도,上昇量,Набор высоты,Przewyższenie,爬升,Stigning,Stoupání,Stigning,Stigning,Stijging,ความสูงสะสม,Nousu,Tırmanış,,
路线列表侧滑操作栏,KW_USER_DELETE,,删除,Delete,Supprimer,Löschen,Eliminar,Elimina,Excluir,삭제,削除,Удалить,Usuń,刪除,Slet,Smazat,Ta bort,Slett,Verwijderen,ลบ,Poista,Sil,,
骑行中功能菜单页面,KW_RIDE_BACK_TO_START,,回起点,Return to Start,Retour au départ,Zurück zum Start,Volver al inicio,Torna all’inizio,Voltar ao início,시작 지점으로 돌아가기,スタート地点に戻る,Вернуться к старту,Wróć do startu,返回起點,Tilbage til start,Návrat na start,Återgå till start,Tilbake til start,Terug naar start,กลับไปจุดเริ่มต้น,Palaa lähtöön,Başlangıca dön,,
路线替换确认弹窗,KW_RIDE_ROUTE_REPLACE_CONFIRM,,是否替换当前路线？,Replace the current route?,Remplacer l’itinéraire actuel ?,Aktuelle Route ersetzen?,¿Reemplazar la ruta actual?,Sostituire il percorso corrente?,Substituir a rota atual?,현재 경로를 교체하시겠습니까?,現在のルートを置き換えますか？,Заменить текущий маршрут?,Zastąpić bieżącą trasę?,取代目前路線？,Erstat den aktuelle rute?,Nahradit aktuální trasu?,Ersätt aktuell rutt?,Erstatt gjeldende rute?,Huidige route vervangen?,แทนที่เส้นทางปัจจุบันหรือไม่?,Korvataanko nykyinen reitti?,Geçerli rota değiştirilsin mi?,,
地图选点详情弹窗,KW_RIDE_NAVIGATION,,导航,Navigation,Navigation,Navigation,Navegación,Navigazione,Navegação,내비게이션,ナビゲーション,Навигация,Nawigacja,導航,Navigation,Navigace,Navigering,Navigasjon,Navigatie,การนำทาง,Navigointi,Navigasyon,,
导航加载页面,KW_RIDE_ROUTE_LOADING,,路线加载中…,Loading route…,Chargement de l’itinéraire…,Route wird geladen…,Cargando ruta…,Caricamento percorso…,Carregando rota…,경로 불러오는 중…,ルートを読み込み中…,Загрузка маршрута…,Wczytywanie trasy…,正在載入路線…,Indlæser rute…,Načítání trasy…,Laddar rutt…,Laster rute…,Route laden…,กำลังโหลดเส้นทาง…,Ladataan reittiä…,Rota yükleniyor…,,
路线规划状态弹窗,KW_RIDE_ROUTE_PLANNING,,规划中…,Planning…,Planification…,Planung…,Planificando…,Pianificazione…,Planejando…,계획 중…,計画中…,Планирование…,Planowanie…,規劃中…,Planlægger…,Plánování…,Planerar…,Planlegger…,Bezig met plannen…,กำลังวางแผน…,Suunnitellaan…,Planlanıyor…,,
路线规划状态弹窗,KW_RIDE_ROUTE_PLAN_SUCCESS,,已成功规划,Successfully planned,Planification réussie,Planung erfolgreich,Planificación correcta,Pianificazione riuscita,Planejamento concluído,계획 완료,計画が完了しました,Планирование завершено,Zaplanowano pomyślnie,規劃成功,Planlægning lykkedes,Naplánováno úspěšně,Planering lyckades,Planlegging vellykket,Planning geslaagd,วางแผนสำเร็จ,Suunnittelu onnistui,Planlama başarılı,,
导航起点确认弹窗,KW_RIDE_NAVI_TO_ROUTE_START_CONFIRM,,是否导航至路线起点？,Navigate to the route start?,Naviguer vers le départ de l’itinéraire ?,Zum Routenstart navigieren?,¿Navegar al inicio de la ruta?,Navigare all’inizio del percorso?,Navegar até o início da rota?,경로 시작 지점으로 안내하시겠습니까?,ルート開始地点までナビしますか？,Навигировать к началу маршрута?,Nawigować do początku trasy?,導航至路線起點？,Naviger til rutens start?,Navigovat na začátek trasy?,Navigera till ruttens start?,Navigere til rutestart?,Navigeren naar het begin van de route?,นำทางไปยังจุดเริ่มต้นของเส้นทางหรือไม่?,Navigoidaanko reitin alkuun?,Rotanın başlangıcına navigasyon başlatılsın mı?,,
导航起点确认弹窗,KW_GLOBAL_YES,,是,Yes,Oui,Ja,Sí,Sì,Sim,예,はい,Да,Tak,是,Ja,Ano,Ja,Ja,Ja,ใช่,Kyllä,Evet,,
导航起点确认弹窗,KW_GLOBAL_NO,,否,No,Non,Nein,No,No,Não,아니요,いいえ,Нет,Nie,否,Nej,Ne,Nej,Nei,Nee,ไม่,Ei,Hayır,,
路线规划中弹窗,KW_RIDE_ROUTE_PLANNING,,规划中…,Planning…,Planification…,Planung…,Planificando…,Pianificazione…,Planejando…,계획 중…,計画中…,Планирование…,Planowanie…,規劃中…,Planlægger…,Plánování…,Planerar…,Planlegger…,Bezig met plannen…,กำลังวางแผน…,Suunnitellaan…,Planlanıyor…,,
路线规划中弹窗,KW_RIDE_CANCEL,,取消,Cancel,Annuler,Abbrechen,Cancelar,Annulla,Cancelar,취소,キャンセル,Отмена,Anuluj,取消,Annuller,Zrušit,Avbryt,Avbryt,Annuleren,ยกเลิก,Peruuta,İptal,,
规划成功提示弹窗,KW_RIDE_ROUTE_PLAN_SUCCESS,,已成功规划,Successfully planned,Planification réussie,Planung erfolgreich,Planificación correcta,Pianificazione riuscita,Planejamento concluído,계획 완료,計画が完了しました,Планирование завершено,Zaplanowano pomyślnie,規劃成功,Planlægning lykkedes,Naplánováno úspěšně,Planering lyckades,Planlegging vellykket,Planning geslaagd,วางแผนสำเร็จ,Suunnittelu onnistui,Planlama başarılı,,
导航规划失败的提示弹窗,KW_RIDE_GPS_ERROR_PLAN_FAIL_NOTICE,,GPS 定位异常，规划失败,GPS signal error. Route planning failed.,Erreur de signal GPS. Échec de la planification de l’itinéraire.,GPS-Signalfehler. Routenplanung fehlgeschlagen.,Error de señal GPS. Error al planificar la ruta.,Errore del segnale GPS. Pianificazione percorso non riuscita.,Erro no sinal GPS. Falha no planejamento da rota.,GPS 신호 오류. 경로 계획에 실패했습니다.,GPS信号エラー。ルート計画に失敗しました。,Ошибка сигнала GPS. Не удалось спланировать маршрут.,Błąd sygnału GPS. Planowanie trasy nie powiodło się.,GPS 訊號錯誤。路線規劃失敗。,GPS-signalfejl. Ruteplanlægning mislykkedes.,Chyba signálu GPS. Plánování trasy se nezdařilo.,GPS-signalfel. Ruttplaneringen misslyckades.,GPS-signalfeil. Ruteplanlegging mislyktes.,GPS-signaalfout. Routeplanning mislukt.,สัญญาณ GPS ผิดพลาด วางแผนเส้นทางไม่สำเร็จ,GPS-signaalivirhe. Reitin suunnittelu epäonnistui.,GPS sinyal hatası. Rota planlama başarısız.,,
导航规划失败的提示弹窗,KW_RIDE_ONLINE_PLAN_LIMIT_NOTICE,,超过在线规划上限，请分段规划,Online planning limit exceeded. Please plan in sections.,Limite de planification en ligne dépassée. Veuillez planifier par sections.,Limit für Online-Planung überschritten. Bitte in Abschnitten planen.,Se superó el límite de planificación en línea. Planifica por tramos.,Limite della pianificazione online superato. Pianifica per sezioni.,Limite de planejamento online excedido. Planeje por trechos.,온라인 경로 계획 한도를 초과했습니다. 구간별로 계획하세요.,オンライン計画の制限を超えました。区間ごとに計画してください。,Превышен лимит онлайн-планирования. Планируйте маршрут по участкам.,Przekroczono limit planowania online. Zaplanuj trasę odcinkami.,已超出線上規劃限制。請分段規劃。,Grænsen for onlineplanlægning er overskredet. Planlæg i sektioner.,Překročen limit online plánování. Plánujte po úsecích.,Gränsen för onlineplanering har överskridits. Planera i sektioner.,Grensen for nettbasert planlegging er overskredet. Planlegg i seksjoner.,Limiet voor online planning overschreden. Plan de route in delen.,เกินขีดจำกัดการวางแผนออนไลน์ โปรดวางแผนเป็นช่วง ๆ,Online-suunnittelun raja ylitetty. Suunnittele reitti osissa.,Çevrim içi planlama sınırı aşıldı. Lütfen bölümler halinde planlayın.,,
导航规划失败的提示弹窗,KW_RIDE_OFFLINE_PLAN_LIMIT_NOTICE,,超过离线规划上限，请连接 app 后重试,Offline planning limit exceeded. Connect to app and retry.,Limite de planification hors ligne dépassée. Connectez-vous à l’application et réessayez.,Limit für Offline-Planung überschritten. Bitte mit der App verbinden und erneut versuchen.,Se superó el límite de planificación sin conexión. Conéctate a la app e inténtalo de nuevo.,Limite della pianificazione offline superato. Connettiti all’app e riprova.,Limite de planejamento offline excedido. Conecte-se ao app e tente novamente.,오프라인 경로 계획 한도를 초과했습니다. 앱에 연결한 후 다시 시도하세요.,オフライン計画の制限を超えました。アプリに接続して再試行してください。,Превышен лимит офлайн-планирования. Подключитесь к приложению и повторите попытку.,Przekroczono limit planowania offline. Połącz się z aplikacją i spróbuj ponownie.,已超出離線規劃限制。請連接 App 後重試。,"Grænsen for offlineplanlægning er overskredet. Opret forbindelse til appen, og prøv igen.",Překročen limit offline plánování. Připojte se k aplikaci a zkuste to znovu.,Gränsen för offlineplanering har överskridits. Anslut till appen och försök igen.,Grensen for frakoblet planlegging er overskredet. Koble til appen og prøv igjen.,Limiet voor offline planning overschreden. Maak verbinding met de app en probeer opnieuw.,เกินขีดจำกัดการวางแผนออฟไลน์ โปรดเชื่อมต่อกับแอปแล้วลองอีกครั้ง,Offline-suunnittelun raja ylitetty. Yhdistä sovellukseen ja yritä uudelleen.,Çevrim dışı planlama sınırı aşıldı. Uygulamaya bağlanın ve tekrar deneyin.,,
导航规划失败的提示弹窗,KW_RIDE_ROUTE_TOO_LONG_NOTICE,,路线过长，请分段规划,Route too long. Please plan in sections.,Itinéraire trop long. Veuillez le planifier par sections.,Route zu lang. Bitte in Abschnitten planen.,Ruta demasiado larga. Planifícala por secciones.,Percorso troppo lungo. Pianificalo in sezioni.,Rota muito longa. Planeje em seções.,경로가 너무 깁니다. 구간별로 계획하세요.,ルートが長すぎます。区間ごとに計画してください。,Маршрут слишком длинный. Планируйте его по участкам.,Trasa jest zbyt długa. Zaplanuj ją odcinkami.,路線過長。請分段規劃。,Ruten er for lang. Planlæg den i sektioner.,Trasa je příliš dlouhá. Naplánujte ji po částech.,Rutten är för lång. Planera den i avsnitt.,Ruten er for lang. Planlegg den i deler.,Route is te lang. Plan deze in secties.,เส้นทางยาวเกินไป โปรดวางแผนเป็นช่วง ๆ,Reitti on liian pitkä. Suunnittele reitti osissa.,Rota çok uzun. Lütfen bölümler halinde planlayın.,,
导航规划失败的提示弹窗,KW_RIDE_ROAD_NETWORK_UNAVAILABLE_NOTICE,,路网不通，规划失败,Road network unavailable. Route planning failed.,Réseau routier indisponible. Échec de la planification de l’itinéraire.,Straßennetz nicht verfügbar. Routenplanung fehlgeschlagen.,Red de carreteras no disponible. Error al planificar la ruta.,Rete stradale non disponibile. Pianificazione percorso non riuscita.,Rede viária indisponível. Falha no planejamento da rota.,도로망을 사용할 수 없습니다. 경로 계획에 실패했습니다.,道路ネットワークを利用できません。ルート計画に失敗しました。,Дорожная сеть недоступна. Не удалось спланировать маршрут.,Sieć dróg niedostępna. Planowanie trasy nie powiodło się.,道路網路不可用。路線規劃失敗。,Vejnetværk ikke tilgængeligt. Ruteplanlægning mislykkedes.,Silniční síť není k dispozici. Plánování trasy se nezdařilo.,Vägnätet är inte tillgängligt. Ruttplaneringen misslyckades.,Veinettverk utilgjengelig. Ruteplanlegging mislyktes.,Wegennet niet beschikbaar. Routeplanning mislukt.,เครือข่ายถนนไม่พร้อมใช้งาน วางแผนเส้นทางไม่สำเร็จ,Tieverkko ei ole käytettävissä. Reitin suunnittelu epäonnistui.,Yol ağı kullanılamıyor. Rota planlama başarısız.,,
导航规划失败的提示弹窗,KW_RIDE_NETWORK_ERROR_PLAN_FAIL_NOTICE,,网络异常，规划失败,Network error. Route planning failed.,Erreur réseau. Échec de la planification de l’itinéraire.,Netzwerkfehler. Routenplanung fehlgeschlagen.,Error de red. Error al planificar la ruta.,Errore di rete. Pianificazione percorso non riuscita.,Erro de rede. Falha no planejamento da rota.,네트워크 오류. 경로 계획에 실패했습니다.,ネットワークエラー。ルート計画に失敗しました。,Ошибка сети. Не удалось спланировать маршрут.,Błąd sieci. Planowanie trasy nie powiodło się.,網路錯誤。路線規劃失敗。,Netværksfejl. Ruteplanlægning mislykkedes.,Chyba sítě. Plánování trasy se nezdařilo.,Nätverksfel. Ruttplaneringen misslyckades.,Nettverksfeil. Ruteplanlegging mislyktes.,Netwerkfout. Routeplanning mislukt.,เครือข่ายผิดพลาด วางแผนเส้นทางไม่สำเร็จ,Verkkovirhe. Reitin suunnittelu epäonnistui.,Ağ hatası. Rota planlama başarısız.,,
